latitude	longitude	altitude	temperature	municipality	vereda	uchuva_ideal	temp_prob	alt_prob	alt_temp_prob	geometry
7.342	-74.657	280.0	25.8	Segovia	SANTA ISABEL	0	0.119815765914756	0.1300027077366511	0.015576373998459027	POINT (-74.657 7.342)
7.342	-74.647	448.0	24.91	Segovia	SANTA ISABEL	0	0.17016920728171278	0.17997235917902793	0.03062575369411487	POINT (-74.647 7.342)
7.342	-74.638	559.0	24.19	Segovia	SANTA ISABEL	0	0.22083885639766115	0.21968941062547664	0.048515958205206454	POINT (-74.638 7.342)
7.342	-74.629	592.0	24.24	Segovia	MONTEFRÍO	0	0.21702298703827871	0.2325541913589838	0.05046960525699813	POINT (-74.629 7.342)
7.342	-74.62	599.0	24.19	Segovia	MONTEFRÍO	0	0.22083885639766115	0.23534553101304953	0.05197343792722216	POINT (-74.62 7.342)
7.342	-74.611	600.0	24.18	Segovia	MONTEFRÍO	0	0.2216073847456006	0.23574607655586352	0.05224307148958106	POINT (-74.611 7.342)
7.342	-74.602	584.0	24.03	Segovia	LA FRAGUA	0	0.23334948816747725	0.22939084122424375	0.053528235389984316	POINT (-74.602 7.342)
7.342	-74.593	601.0	24.18	Segovia	LA FRAGUA	0	0.2216073847456006	0.23614706765864457	0.05233193407917462	POINT (-74.593 7.342)
7.342	-74.584	565.0	24.15	Segovia	LA FRAGUA	0	0.2239236798811215	0.2219923182912938	0.049709336817127706	POINT (-74.584 7.342)
7.342	-74.574	620.0	24.05	Segovia	LA FRAGUA	0	0.23176067801974848	0.24385048692652464	0.05651495418553716	POINT (-74.574 7.342)
7.342	-74.565	614.0	24.09	Segovia	LA FRAGUA	0	0.22860446405784424	0.2414004756354042	0.05518522635594027	POINT (-74.565 7.342)
7.342	-74.556	703.0	23.52	Segovia	SAN JOSÉ DEL PESCADO	0	0.2762613337064733	0.2793738304309442	0.07718018699753877	POINT (-74.556 7.342)
7.342	-74.547	654.0	23.83	Segovia	SAN JOSÉ DEL PESCADO	0	0.24962936529199062	0.25803552751352177	0.06441324495598443	POINT (-74.547 7.342)
7.342	-74.538	684.0	23.64	Segovia	CAÑAVERAL DE CHICAMOCHE	0	0.2657519298197481	0.27097519328120456	0.07201218054775935	POINT (-74.538 7.342)
7.342	-74.529	601.0	24.18	Segovia	CAÑAVERAL DE CHICAMOCHE	0	0.2216073847456006	0.23614706765864457	0.05233193407917462	POINT (-74.529 7.342)
